keyword,name,category,address,phone,open_hours,description,menu,price,image
대구 중구 배달 피자 전문점,치맥킹 대봉점,"치킨,닭강정",대구 중구 대봉로 234,50-2474-4432,,"치킨과 맥주 그리고 다양한 문화가 함께하는 공간!
야외 테라스 / 대형 스크린 / 단체석 / 개인 모니터 / 벽화아트 / 무선충전기기 구비!",치맥킹 간장,"24,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230920_173%2F16951907848129AFQe_PNG%2F%25C4%25A1%25B8%25C6%25C5%25B7_%25B0%25A3%25C0%25E5_%25BC%25F8%25BB%25EC_%2528%25C8%25A6_24%252C000%2529%252C_%2528%25B9%25E8%25B4%25DE_20%252C000%2529%252C_%2528%25C6%25F7%25C0%25E5_18%252C000%2529.png
대구 중구 배달 피자 전문점,치맥킹 대봉점,"치킨,닭강정",대구 중구 대봉로 234,50-2474-4432,,"치킨과 맥주 그리고 다양한 문화가 함께하는 공간!
야외 테라스 / 대형 스크린 / 단체석 / 개인 모니터 / 벽화아트 / 무선충전기기 구비!",치맥킹 핫킹,"25,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230920_247%2F1695190856308STl3I_PNG%2F%25C4%25A1%25B8%25C6%25C5%25B7_%25C7%25D6%25C5%25B7_%25BC%25F8%25BB%25EC_%2528%25C8%25A6_25%252C000%2529%252C_%2528%25B9%25E8%25B4%25DE_21%252C000%2529%252C_%2528%25C6%25F7%25C0%25E5_19%252C000%2529.png
대구 중구 배달 피자 전문점,치맥킹 대봉점,"치킨,닭강정",대구 중구 대봉로 234,50-2474-4432,,"치킨과 맥주 그리고 다양한 문화가 함께하는 공간!
야외 테라스 / 대형 스크린 / 단체석 / 개인 모니터 / 벽화아트 / 무선충전기기 구비!",치맥킹 윙봉 쏘핫킹,"25,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230920_279%2F1695190916072WlL04_PNG%2F%25C4%25A1%25B8%25C6%25C5%25B7_%25BD%25EE%25C7%25D6%25C5%25B7_%25BC%25F8%25BB%25EC_%2528%25C8%25A6_25%252C000%2529%252C_%2528%25B9%25E8%25B4%25DE_21%252C000%2529%252C_%2528%25C6%25F7%25C0%25E519%252C000%2529.png
대구 중구 배달 피자 전문점,치맥킹 대봉점,"치킨,닭강정",대구 중구 대봉로 234,50-2474-4432,,"치킨과 맥주 그리고 다양한 문화가 함께하는 공간!
야외 테라스 / 대형 스크린 / 단체석 / 개인 모니터 / 벽화아트 / 무선충전기기 구비!",치맥킹 후라이드,"23,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230920_121%2F1695190962767FLcMO_PNG%2F%25C4%25A1%25B8%25C6%25C5%25B7_%25C8%25C4%25B6%25F3%25C0%25CC%25B5%25E5_%25C7%25D1%25B8%25B6%25B8%25AE_%2528%25C8%25A6_23%252C000%2529%252C_%2528%25B9%25E8%25B4%25DE19%252C000%2529%252C_%2528%25C6%25F7%25C0%25E517%252C000%2529.png
대구 중구 배달 피자 전문점,치맥킹 대봉점,"치킨,닭강정",대구 중구 대봉로 234,50-2474-4432,,"치킨과 맥주 그리고 다양한 문화가 함께하는 공간!
야외 테라스 / 대형 스크린 / 단체석 / 개인 모니터 / 벽화아트 / 무선충전기기 구비!",치맥킹 반반,"25,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230920_201%2F1695191062893bBJzx_PNG%2F%25C4%25A1%25B8%25C6%25C5%25B7_%25B9%25DD%25B9%25DD_%25BC%25F8%25BB%25EC_%2528%25C8%25A6_25%252C000%2529%252C_%2528%25B9%25E8%25B4%25DE_21%252C000%2529%252C_%2528%25C6%25F7%25C0%25E5_19%252C000%2529.png
대구 중구 배달 피자 전문점,치맥킹 대봉점,"치킨,닭강정",대구 중구 대봉로 234,50-2474-4432,,"치킨과 맥주 그리고 다양한 문화가 함께하는 공간!
야외 테라스 / 대형 스크린 / 단체석 / 개인 모니터 / 벽화아트 / 무선충전기기 구비!",화덕치즈떡볶이,"13,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230920_239%2F1695198452839XwNge_PNG%2F%25C4%25A1%25B8%25C6%25C5%25B7_%25C4%25A1%25C1%25EE%25B6%25B1%25BA%25BA%25C0%25CC_%2528%25C8%25A6_13%252C000%2529%252C_%2528%25B9%25E8%25B4%25DE_9%252C000%2529.png
대구 중구 배달 피자 전문점,치맥킹 대봉점,"치킨,닭강정",대구 중구 대봉로 234,50-2474-4432,,"치킨과 맥주 그리고 다양한 문화가 함께하는 공간!
야외 테라스 / 대형 스크린 / 단체석 / 개인 모니터 / 벽화아트 / 무선충전기기 구비!",치맥킹떡볶이,"10,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230920_232%2F1695198508104MLjW4_PNG%2F%25C4%25A1%25B8%25C6%25C5%25B7%25B6%25B1%25BA%25BA%25C0%25CC_%2528%25C8%25A6_10%252C000%2529%252C_%2528%25B9%25E8%25B4%25DE_6%252C000%2529.png
대구 중구 배달 피자 전문점,치맥킹 대봉점,"치킨,닭강정",대구 중구 대봉로 234,50-2474-4432,,"치킨과 맥주 그리고 다양한 문화가 함께하는 공간!
야외 테라스 / 대형 스크린 / 단체석 / 개인 모니터 / 벽화아트 / 무선충전기기 구비!",콰트로 피자,"13,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230920_177%2F16951985447447shnl_PNG%2F%25C4%25E2%25C6%25AE%25B7%25CE_%25C7%25C7%25C0%25DA_13%252C000.png
대구 중구 배달 피자 전문점,치맥킹 대봉점,"치킨,닭강정",대구 중구 대봉로 234,50-2474-4432,,"치킨과 맥주 그리고 다양한 문화가 함께하는 공간!
야외 테라스 / 대형 스크린 / 단체석 / 개인 모니터 / 벽화아트 / 무선충전기기 구비!",마르게리따 피자,"13,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230920_199%2F1695198574931jYK5W_PNG%2F%25B8%25B6%25B8%25A3%25B0%25D4%25B6%25EC%25B5%25FB_%25C7%25C7%25C0%25DA_13%252C000.png
대구 중구 배달 피자 전문점,치맥킹 대봉점,"치킨,닭강정",대구 중구 대봉로 234,50-2474-4432,,"치킨과 맥주 그리고 다양한 문화가 함께하는 공간!
야외 테라스 / 대형 스크린 / 단체석 / 개인 모니터 / 벽화아트 / 무선충전기기 구비!",치맥킹 웨지감자,"6,000원",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230920_61%2F1695198608117JkTja_PNG%2F%25C4%25A1%25B8%25C6%25C5%25B7_%25BF%25FE%25C1%25F6%25B0%25A8%25C0%25DA_%2528%25C8%25A6_6%252C000%2529%252C_%2528%25B9%25E8%25B4%25DE_4%252C000%2529.png
